ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,Year,Higher Odds win,Spaces
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,1st Round,3,Gasquet R.,Di Pasquale A.,161,98,3,6,6,3,6,4,,,,,2,1,Completed,,,2003,FALSE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,1st Round,3,Krajicek R.,Draper S.,112,137,7,6,6,4,,,,,,,2,0,Completed,1.444,2.625,2003,TRUE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,1st Round,3,Squillari F.,Ferreira W.,79,39,7,6,6,2,,,,,,,2,0,Completed,2.5,1.5,2003,FALSE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,2nd Round,3,Davydenko N.,Ljubicic I.,81,49,4,6,6,4,7,6,,,,,2,1,Completed,2.375,1.533,2003,FALSE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,2nd Round,3,Dupuis A.,Mirnyi M.,70,43,7,6,6,3,,,,,,,2,0,Completed,2.75,1.4,2003,FALSE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,2nd Round,3,Voinea A.,Kim A.,68,238,6,4,6,1,,,,,,,2,0,Completed,,,2003,FALSE,
1,Adelaide,AAPT Championships,1/1/2003,International,Outdoor,Hard,2nd Round,3,Zabaleta M.,Verkerk M.,53,86,6,4,6,4,,,,,,,2,0,Completed,1.667,2.1,2003,TRUE,
1,Adelaide,AAPT Championships,1/2/2003,International,Outdoor,Hard,2nd Round,3,Krajicek R.,Squillari F.,112,79,6,4,6,3,,,,,,,2,0,Completed,,,2003,FALSE,
1,Adelaide,AAPT Championships,1/2/2003,International,Outdoor,Hard,2nd Round,3,Martin A.,Gasquet R.,61,161,7,5,6,1,,,,,,,2,0,Completed,1.5,2.5,2003,TRUE,
1,Adelaide,AAPT Championships,1/2/2003,International,Outdoor,Hard,2nd Round,3,Vahaly B.,Spadea V.,102,67,7,6,6,2,,,,,,,2,0,Completed,2.375,1.533,2003,FALSE,
1,Adelaide,AAPT Championships,1/2/2003,International,Outdoor,Hard,2nd Round,3,Vliegen K.,Parmar A.,164,170,6,2,6,2,,,,,,,2,0,Completed,1.909,1.8,2003,FALSE,
1,Adelaide,AAPT Championships,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Davydenko N.,Zabaleta M.,81,53,7,6,6,1,,,,,,,2,0,Completed,1.8,1.909,2003,TRUE,
1,Adelaide,AAPT Championships,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Krajicek R.,Vahaly B.,112,102,6,1,6,3,,,,,,,2,0,Completed,1.286,3.5,2003,TRUE,
1,Adelaide,AAPT Championships,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Vliegen K.,Martin A.,164,61,6,3,6,4,,,,,,,2,0,Completed,2.5,1.5,2003,FALSE,
1,Adelaide,AAPT Championships,1/3/2003,International,Outdoor,Hard,Quarterfinals,3,Voinea A.,Dupuis A.,68,70,7,6,6,4,,,,,,,2,0,Completed,1.667,2.1,2003,TRUE,
