winner_name,loser_name,ranking_difference,height_difference,age_difference,player1_hand,player2_hand,player1_h2h_win_pct,match_type,player1_recent_win_pct,player2_recent_win_pct,target
Nikolay Davydenko,Hyung Taik Lee,-46.0,-2.0,-5.399999999999999,1,1,0.5,0,0.5,0.5,4.0
Rafael Nadal,Rainer Schuettler,-94.0,5.0,-10.100000000000001,0,1,0.5,0,0.5,0.5,6.0
Jonas Bjorkman,Nicolas Almagro,22.0,0.0,13.400000000000002,1,1,0.5,0,0.5,0.5,4.0
Karan Rastogi,Thiago Alves,375.0,0.0,-4.400000000000002,1,1,0.5,0,0.5,0.5,5.0
Federico Luzzi,Jurgen Melzer,106.0,5.0,1.2999999999999972,1,0,0.5,0,0.5,0.5,2.0
Davide Sanguinetti,Konstantinos Economidis,-14.0,0.0,5.199999999999996,1,1,0.5,0,0.5,0.5,5.0
Olivier Rochus,Sebastien Grosjean,8.0,-7.0,-2.6000000000000014,1,1,0.5,0,0.5,0.5,4.0
Nicolas Mahut,Alejandro Falla,-41.0,5.0,1.7999999999999972,1,0,0.5,0,0.5,0.5,4.0
Andy Murray,Filippo Volandri,-21.0,7.0,-5.699999999999999,1,1,0.5,0,0.5,0.5,4.0
Xavier Malisse,Danai Udomchoke,-66.0,12.0,1.0999999999999979,1,1,0.5,0,0.5,0.5,8.0
Christophe Rochus,Alberto Martin,17.0,-5.0,-0.3000000000000007,1,1,0.5,0,0.5,0.5,4.0
Stefano Galvani,Yen Hsun Lu,20.0,-2.0,6.199999999999999,1,1,0.5,0,0.5,0.5,7.0
Marco Chiudinelli,Tomas Cakl,-30.0,7.0,-0.3000000000000007,1,1,0.5,0,0.5,0.5,8.0
Bjorn Phau,Olivier Patience,-40.0,-5.0,0.5,1,1,0.5,0,0.5,0.5,4.0
Max Mirnyi,Stan Wawrinka,29.0,13.0,7.699999999999999,1,1,0.5,0,0.5,0.5,2.0
Fabrice Santoro,David Skoch,-678.0,-5.0,3.8999999999999986,1,1,0.5,0,0.5,0.5,3.0
Robin Soderling,Kristof Vliegen,-6.0,0.0,-2.1999999999999993,1,1,0.5,0,0.5,0.5,6.0
Paradorn Srichaphan,Simone Bolelli,-74.0,2.0,6.300000000000001,1,1,0.5,0,0.5,0.5,3.0
Guillermo Garcia Lopez,Potito Starace,-15.0,0.0,-1.8999999999999986,1,1,0.5,0,0.5,0.5,0.0
Stefan Koubek,Bartolome Salva Vidal,-281.0,-8.0,9.799999999999997,0,0,0.5,0,0.5,0.5,1.0
Ruben Ramirez Hidalgo,Sultan Khalfan,-1059.0,-3.2100665144445486,-0.8000000000000007,1,1,0.5,0,0.5,0.5,5.0
Igor Andreev,Santiago Giraldo,-84.0,-3.0,4.399999999999999,1,1,0.5,0,0.5,0.5,4.0
Marcos Baghdatis,Philipp Kohlschreiber,-50.0,5.0,-1.6999999999999993,1,1,0.5,0,0.5,0.5,4.0
Julien Benneteau,Teymuraz Gabashvili,-74.0,-3.0,3.3999999999999986,1,1,0.5,0,0.5,0.5,5.0
Mikhail Youzhny,Daniele Bracciali,-41.0,3.0,-4.399999999999999,1,1,0.5,0,0.5,0.5,5.0
Carlos Moya,Alexander Waske,-65.0,2.0,-1.3999999999999986,1,1,0.5,0,0.5,0.5,4.0
Gael Monfils,Andreas Seppi,-28.0,3.0,-2.5,1,1,0.5,0,0.5,0.5,5.0
Kevin Kim,Simon Greul,18.0,-5.0,2.6999999999999993,1,1,0.5,0,0.5,0.5,2.0
Younes El Aynaoui,Thomas Johansson,118.0,13.0,3.599999999999998,1,1,0.5,0,0.5,0.5,2.0
Ivo Karlovic,Prakash Amritraj,-295.0,20.0,4.600000000000001,1,1,0.5,0,0.5,0.5,4.0
Ivan Ljubicic,Denis Gremelmayr,-141.0,10.0,2.3999999999999986,1,0,0.5,0,0.5,0.5,9.0
Kristian Pless,David Nalbandian,76.0,8.0,0.9000000000000021,1,1,0.5,0,0.5,0.5,1.0
Nikolay Davydenko,Jonas Bjorkman,-51.0,-5.0,-9.200000000000003,1,1,0.5,0,1.0,1.0,5.0
Rafael Nadal,Karan Rastogi,-478.0,7.0,0.3000000000000007,0,1,0.5,0,1.0,1.0,7.0
Olivier Rochus,Federico Luzzi,-111.0,-20.0,-1.0,1,1,0.5,0,1.0,1.0,11.0
Davide Sanguinetti,Nicolas Mahut,40.0,-2.0,9.399999999999999,1,1,0.5,0,1.0,1.0,1.0
Andy Murray,Christophe Rochus,-61.0,20.0,-8.399999999999999,1,1,0.5,0,1.0,1.0,8.0
Xavier Malisse,Stefano Galvani,-72.0,7.0,-3.1000000000000014,1,1,0.5,0,1.0,1.0,7.0
Max Mirnyi,Marco Chiudinelli,-96.0,11.0,4.099999999999998,1,1,0.5,0,1.0,1.0,6.0
Fabrice Santoro,Bjorn Phau,-25.0,3.0,6.800000000000001,1,1,0.5,0,1.0,1.0,6.0
Robin Soderling,Guillermo Garcia Lopez,-43.0,5.0,-1.1999999999999993,1,1,0.5,0,1.0,1.0,7.0
Stefan Koubek,Paradorn Srichaphan,27.0,-10.0,2.3999999999999986,0,1,0.5,0,1.0,1.0,9.0
Marcos Baghdatis,Ruben Ramirez Hidalgo,-45.0,0.0,-7.399999999999999,1,1,0.5,0,1.0,1.0,10.0
Julien Benneteau,Igor Andreev,-51.0,0.0,1.6000000000000014,1,1,0.5,0,1.0,1.0,5.0
Mikhail Youzhny,Gael Monfils,-22.0,-10.0,4.199999999999999,1,1,0.5,0,1.0,1.0,6.0
Carlos Moya,Kevin Kim,-57.0,10.0,1.9000000000000021,1,1,0.5,0,1.0,1.0,5.0
Ivan Ljubicic,Younes El Aynaoui,-184.0,0.0,-7.599999999999998,1,1,0.5,0,1.0,1.0,5.0
Ivo Karlovic,Kristian Pless,14.0,20.0,2.0,1,1,0.5,0,1.0,1.0,2.0
Nikolay Davydenko,Olivier Rochus,-33.0,10.0,-0.3999999999999986,1,1,0.5,0,1.0,1.0,5.0
Rafael Nadal,Davide Sanguinetti,-104.0,-3.0,-13.799999999999997,0,1,0.5,0,1.0,1.0,7.0
Andy Murray,Max Mirnyi,-42.0,-6.0,-9.799999999999997,1,1,0.5,0,1.0,1.0,4.0
Xavier Malisse,Fabrice Santoro,-15.0,7.0,-7.600000000000001,1,1,0.5,0,1.0,1.0,6.0
Robin Soderling,Marcos Baghdatis,13.0,10.0,0.8000000000000007,1,1,0.5,0,1.0,1.0,7.0
Stefan Koubek,Julien Benneteau,40.0,-10.0,4.899999999999999,0,1,0.5,0,1.0,1.0,9.0
Ivan Ljubicic,Mikhail Youzhny,-19.0,10.0,3.1999999999999993,1,1,0.5,0,1.0,1.0,-2.0
Carlos Moya,Ivo Karlovic,-55.0,-18.0,2.5,1,1,0.5,0,1.0,1.0,3.0
Andy Murray,Nikolay Davydenko,14.0,12.0,-5.899999999999999,1,1,0.5,0,1.0,1.0,6.0
Xavier Malisse,Rafael Nadal,35.0,0.0,5.899999999999999,1,0,0.5,0,1.0,1.0,3.0
Ivan Ljubicic,Robin Soderling,-20.0,0.0,5.399999999999999,1,1,0.5,0,1.0,1.0,0.0
Stefan Koubek,Carlos Moya,37.0,-15.0,-0.40000000000000213,0,1,0.5,0,1.0,1.0,8.0
Ivan Ljubicic,Andy Murray,-12.0,3.0,8.099999999999998,1,1,0.5,0,1.0,1.0,4.0
Xavier Malisse,Stefan Koubek,-43.0,10.0,-3.5,1,0,0.5,0,1.0,1.0,8.0
Paul Henri Mathieu,Jan Hernych,-20.0,-5.0,-2.5,1,1,0.5,0,0.5,0.5,4.0
Juan Martin del Potro,Paul Henri Mathieu,37.0,13.0,-6.699999999999999,1,1,0.5,0,0.5,1.0,-2.0
Evgeny Korolev,Nathan Healey,-60.0,5.0,-8.0,1,1,0.5,0,0.5,0.5,4.0
Radek Stepanek,Evgeny Korolev,-83.0,0.0,9.2,1,1,0.5,0,0.5,1.0,6.0
Vincent Spadea,Evgeny Korolev,-29.0,-2.0,13.599999999999998,1,1,0.5,0,0.5,0.5,6.0
Paul Goldstein,Dominik Hrbaty,49.0,-5.0,1.5,1,1,0.5,0,0.5,0.5,5.0
Peter Luczak,Dominik Hrbaty,145.0,0.0,-1.5999999999999979,1,1,0.5,0,0.5,0.0,4.0
